Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.,Invoice Date,Submitted Date,Amount,Remarks (If any),DC Number,Original DC,, Overdue Days ,
17607--,17607--,13308,M/S ASAD WATER SUPPLIER,17607,-,-,006-A,01-Oct-23,25-Oct-23," 42,000.00 ",Brookes Roundabout,,,,,
17608-10717,17608-5938,13309,M/S ASAD WATER SUPPLIER,17608,5938,10717,006-B,01-Oct-23,25-Oct-23," 16,000.00 ",,,,,,
17608-10717,17608-5938,13310,M/S ASAD WATER SUPPLIER,17608,5938,10717,006-C,01-Oct-23,25-Oct-23," 630,000.00 ",,,,,,
17320-10707,17320-5931,13311,M/S. MUSAJI ADAM & SONS,17320,5931,10707,2560/KHI/23,17-Oct-23,25-Oct-23," 18,880.00 ",,,,,,
17320-10670,17320-5904,13312,M/S. MUSAJI ADAM & SONS,17320,5904,10670,2560/KHI/23,17-Oct-23,25-Oct-23," 18,880.00 ",,,,,,
17515-10712,17515-5935,13313,MICRO SCIENTIFIC CO.,17515,5935,10712,15908,20-Oct-23,25-Oct-23," 853,848.00 ",,,,,,
17568-5229,17568-5016,13314,H.H CORPORATION,17568,5016,5229,0091,18-Oct-23,25-Oct-23," 45,000.00 ",,,,,,
17465-5228,17465-5015,13315,H.H CORPORATION,17465,5015,5228,0090,18-Oct-23,25-Oct-23," 32,000.00 ",,,,,,
14606-5239,14606-5026,13316,WADITTAR ENGINEERING,14606,5026,5239,2674,22-Mar-23,25-Oct-23," 80,000.00 ",,,,,,
17373-10687,17373-5913,13317,METIER IMPRESSIONS (PVT) LTD.,17373,5913,10687,23240151,16-Oct-23,25-Oct-23," 451,568.00 ",,,,,,
17205-13573,17205-13302,13318,METIER IMPRESSIONS (PVT) LTD.,17205,13302,13573,23240161,17-Oct-23,25-Oct-23," 49,064.00 ",,,,,,
17240-,17240-13301,13319,METIER IMPRESSIONS (PVT) LTD.,17240,13301,,23240160,17-Oct-23,25-Oct-23," 94,985.00 ",,,,,,
17395-,17395-13300,13320,METIER IMPRESSIONS (PVT) LTD.,17395,13300,,23240159,17-Oct-23,25-Oct-23," 95,594.00 ",,,,,,
17498-,17498-13308,13321,METIER IMPRESSIONS (PVT) LTD.,17498,13308,,23240157,17-Oct-23,25-Oct-23," 22,715.00 ",,,,,,
17395-,17395-13299,13322,METIER IMPRESSIONS (PVT) LTD.,17395,13299,,23240158,17-Oct-23,25-Oct-23," 39,713.00 ",,,,,,
17493-13579,17493-13298,13323,METIER IMPRESSIONS (PVT) LTD.,17493,13298,13579,23240156,17-Oct-23,25-Oct-23," 114,224.00 ",,,,,,
17205-,17205-13297,13324,METIER IMPRESSIONS (PVT) LTD.,17205,13297,,23240155,16-Oct-23,25-Oct-23," 29,819.00 ",,,,,,
17116-,17116-13289,13325,METIER IMPRESSIONS (PVT) LTD.,17116,13289,,23240154,16-Oct-23,25-Oct-23," 46,539.00 ",,,,,,
17499-,17499-13290,13326,METIER IMPRESSIONS (PVT) LTD.,17499,13290,,23240153,16-Oct-23,25-Oct-23," 117,599.00 ",,,,,,
17499-,17499-13291,13327,METIER IMPRESSIONS (PVT) LTD.,17499,13291,,23240153,16-Oct-23,25-Oct-23," 117,599.00 ",,,,,,
17514-,17514-598,13328,METIER IMPRESSIONS (PVT) LTD.,17514,598,,23240152,16-Oct-23,25-Oct-23," 108,560.00 ",,,,,,
17270-,17270-13286,13329,METIER PLASTIC (PVT.) LIMITED,17270,13286,,23240118,16-Oct-23,25-Oct-23," 154,285.00 ",,,,,,
17270-,17270-13287,13330,METIER PLASTIC (PVT.) LIMITED,17270,13287,,23240118,16-Oct-23,25-Oct-23," 154,285.00 ",,,,,,
17218-13551,17218-13284,13331,METIER PLASTIC (PVT.) LIMITED,17218,13284,13551,23240117,16-Oct-23,25-Oct-23," 749,359.00 ",,,,,,
17218-13564,17218-13285,13332,METIER PLASTIC (PVT.) LIMITED,17218,13285,13564,23240117,16-Oct-23,25-Oct-23," 749,359.00 ",,,,,,
17218-,17218-13304,13333,METIER PLASTIC (PVT.) LIMITED,17218,13304,,23240120,17-Oct-23,25-Oct-23," 387,630.00 ",,,,,,
17218-13568,17218-13305,13334,METIER PLASTIC (PVT.) LIMITED,17218,13305,13568,23240120,17-Oct-23,25-Oct-23," 387,630.00 ",,,,,,
17270-,17270-13303,13335,METIER PLASTIC (PVT.) LIMITED,17270,13303,,23240119,17-Oct-23,25-Oct-23," 171,100.00 ",,,,,,
17364-13569,17364-13306,13336,METIER PLASTIC (PVT.) LIMITED,17364,13306,13569,23240121,17-Oct-23,25-Oct-23," 147,648.00 ",,,,,,
16900-13570,16900-13307,13337,METIER PLASTIC (PVT.) LIMITED,16900,13307,13570,23240122,17-Oct-23,25-Oct-23," 336,389.00 ",,,,,,
17443-,17443-13296,13338,METIER AMPOULE (PVT.) LIMITED,17443,13296,,23240597,17-Oct-23,25-Oct-23," 1,299,809.00 ",,,,,,
17343-13565,17343-13288,13339,METIER AMPOULE (PVT.) LIMITED,17343,13288,13565,23240583,16-Oct-23,25-Oct-23," 2,112,298.00 ",,,,,,
17036-13549,17036-13264,13340,GHANI GLASS LIMITED,17036,13264,13549,PH22023100896,12-Oct-23,25-Oct-23," 442,877.60 ",,,,,,
17601-10708,17601-5932,13341,JCM ENTERPRISE,17601,5932,10708,JCM-658,04-Oct-23,25-Oct-23," 65,000.00 ",,,,,,
17601-10709,17601-5933,13342,JCM ENTERPRISE,17601,5933,10709,JCM-659,04-Oct-23,25-Oct-23," 10,500.00 ",,,,,,
17601-10710,17601-5934,13343,JCM ENTERPRISE,17601,5934,10710,JCM-662,04-Oct-23,25-Oct-23," 77,500.00 ",,,,,,
17246-13572,17246-13282,13344,IFTEKHAR INTERNATIONAL,17246,13282,13572,775,14-Oct-23,25-Oct-23," 115,286.00 ",,,,,,
17246-,17246-13335,13345,IFTEKHAR INTERNATIONAL,17246,13335,,791,21-Oct-23,25-Oct-23," 57,643.00 ",,,,,,
17246-,17246-13334,13346,IFTEKHAR INTERNATIONAL,17246,13334,,790,21-Oct-23,25-Oct-23," 57,643.00 ",,,,,,
17246-,17246-13375,13347,IFTEKHAR INTERNATIONAL,17246,13375,,819,30-Oct-23,03-Nov-23," 115,286.00 ",,,,,,
16559-13653,16559-13371,13348,BROTHERS ENTERPRISE (PVT.) LIMITED,16559,13371,13653,K-121912,27-Oct-23,03-Nov-23," 28,910.00 ",,,,,,
17441-13629,17441-13336,13349,BROTHERS ENTERPRISE (PVT.) LIMITED,17441,13336,13629,K-121860,23-Oct-23,03-Nov-23," 761,100.00 ",,,,,,
17632-10746,17632--,13350,FRIENDS ELECTRIC  WORKS,17632,-,10746,00798,24-Oct-23,03-Nov-23," 40,000.00 ",,,,,,
17468-10747,17468--,13351,FRIENDS ELEVATOR SOLUTION,17468,-,10747,00799,24-Oct-23,03-Nov-23," 36,000.00 ",,,,,,
17468-10748,17468--,13352,FRIENDS ELEVATOR SOLUTION,17468,-,10748,00799,24-Oct-23,03-Nov-23," 36,000.00 ",,,,,,
15847-10735,15847-5950,13353,DELTA BOILER SERVICES,15847,5950,10735,2151,30-Oct-23,03-Nov-23," 38,160.00 ",,,,,,
15502-10745,15502--,13354,A. G. ASSOCIATES,15502,-,10745,6016,27-Oct-23,03-Nov-23," 250,000.00 ",,,,,,
15503-10744,15503--,13355,A. G. ASSOCIATES,15503,-,10744,5071,27-Oct-23,03-Nov-23," 70,000.00 ",,,,,,
15696-10734,15696--,13356,A. G. ASSOCIATES,15696,-,10734,5072,27-Oct-23,03-Nov-23," 205,700.00 ",,,,,,
17387-,17387-13333,13357,METIER AMPOULE (PVT.) LIMITED,17387,13333,,23240617,20-Oct-23,03-Nov-23," 460,576.00 ",,,,,,
17359-13620,17359-13329,13358,METIER AMPOULE (PVT.) LIMITED,17359,13329,13620,23240616,20-Oct-23,03-Nov-23," 1,966,378.00 ",,,,,,
17359-13621,17359-13330,13359,METIER AMPOULE (PVT.) LIMITED,17359,13330,13621,23240618,20-Oct-23,03-Nov-23," 711,369.00 ",,,,,,
17343-13615,17343-13319,13360,METIER AMPOULE (PVT.) LIMITED,17343,13319,13615,23240613,20-Oct-23,03-Nov-23," 641,399.00 ",,,,,,
17343-13616,17343-13320,13361,METIER AMPOULE (PVT.) LIMITED,17343,13320,13616,23240614,20-Oct-23,03-Nov-23," 1,948,865.00 ",,,,,,
17343-13645,17343-13351,13362,METIER AMPOULE (PVT.) LIMITED,17343,13351,13645,23240637,25-Oct-23,03-Nov-23," 2,540,925.00 ",,,,,,
17205-,17205-13373,13363,METIER IMPRESSIONS (PVT) LTD.,17205,13373,,23240179,27-Oct-23,03-Nov-23," 151,406.00 ",,,,,,
17665-,17665-13369,13364,METIER IMPRESSIONS (PVT) LTD.,17665,13369,,23240178,27-Oct-23,03-Nov-23," 42,060.00 ",,,,,,
17205-,17205-13370,13365,METIER IMPRESSIONS (PVT) LTD.,17205,13370,,23240180,27-Oct-23,03-Nov-23," 261,677.00 ",,,,,,
17477-,17477-13372,13366,METIER IMPRESSIONS (PVT) LTD.,17477,13372,,23240177,27-Oct-23,03-Nov-23," 2,036,749.00 ",,,,,,
17223-13640,17223-13341,13367,METIER IMPRESSIONS (PVT) LTD.,17223,13341,13640,23240173,24-Oct-23,03-Nov-23," 305,709.00 ",,,,,,
17459-13652,17459-13348,13368,METIER IMPRESSIONS (PVT) LTD.,17459,13348,13652,23240174,25-Oct-23,03-Nov-23," 1,147,380.00 ",,,,,,
17272-13613,17272-13315,13369,METIER IMPRESSIONS (PVT) LTD.,17272,13315,13613,23240164,18-Oct-23,03-Nov-23," 124,608.00 ",,,,,,
17270-,17270-13368,13370,METIER PLASTIC (PVT.) LIMITED,17270,13368,,23240142,27-Oct-23,03-Nov-23," 193,284.00 ",,,,,,
16900-13617,16900-13321,13371,METIER PLASTIC (PVT.) LIMITED,16900,13321,13617,23240129,20-Oct-23,03-Nov-23," 136,290.00 ",,,,,,
17218-,17218-13364,13372,METIER PLASTIC (PVT.) LIMITED,17218,13364,,23240141,27-Oct-23,03-Nov-23," 2,779,213.00 ",,,,,,
17218-,17218-13365,13373,METIER PLASTIC (PVT.) LIMITED,17218,13365,,23240141,27-Oct-23,03-Nov-23," 2,779,213.00 ",,,,,,
17218-,17218-13366,13374,METIER PLASTIC (PVT.) LIMITED,17218,13366,,23240141,27-Oct-23,03-Nov-23," 2,779,213.00 ",,,,,,
17218-,17218-13367,13375,METIER PLASTIC (PVT.) LIMITED,17218,13367,,23240141,27-Oct-23,03-Nov-23," 2,779,213.00 ",,,,,,
17218-13644,17218-13339,13376,METIER PLASTIC (PVT.) LIMITED,17218,13339,13644,23240134,24-Oct-23,03-Nov-23," 1,242,540.00 ",,,,,,
17218-13642,17218-13342,13377,METIER PLASTIC (PVT.) LIMITED,17218,13342,13642,23240135,24-Oct-23,03-Nov-23," 677,114.00 ",,,,,,
17218-13643,17218-13343,13378,METIER PLASTIC (PVT.) LIMITED,17218,13343,13643,23240135,24-Oct-23,03-Nov-23," 677,114.00 ",,,,,,
17218-13650,17218-13353,13379,METIER PLASTIC (PVT.) LIMITED,17218,13353,13650,23240139,25-Oct-23,03-Nov-23," 1,105,985.00 ",,,,,,
17218-13647,17218-13354,13380,METIER PLASTIC (PVT.) LIMITED,17218,13354,13647,23240139,25-Oct-23,03-Nov-23," 1,105,985.00 ",,,,,,
17218-13648,17218-13355,13381,METIER PLASTIC (PVT.) LIMITED,17218,13355,13648,23240139,25-Oct-23,03-Nov-23," 1,105,985.00 ",,,,,,
17218-13624,17218-13323,13382,METIER PLASTIC (PVT.) LIMITED,17218,13323,13624,23240128,20-Oct-23,03-Nov-23," 1,234,959.00 ",,,,,,
17218-13619,17218-13324,13383,METIER PLASTIC (PVT.) LIMITED,17218,13324,13619,23240128,20-Oct-23,03-Nov-23," 1,234,959.00 ",,,,,,
17218-13632,17218-13325,13384,METIER PLASTIC (PVT.) LIMITED,17218,13325,13632,23240128,20-Oct-23,03-Nov-23," 1,234,959.00 ",,,,,,
17218-13618,17218-13322,13385,METIER PLASTIC (PVT.) LIMITED,17218,13322,13618,23240130,20-Oct-23,03-Nov-23," 136,290.00 ",,,,,,
17218-13614,17218-13316,13386,METIER PLASTIC (PVT.) LIMITED,17218,13316,13614,23240123,18-Oct-23,03-Nov-23," 924,914.00 ",,,,,,
17218-,17218-13317,13387,METIER PLASTIC (PVT.) LIMITED,17218,13317,,23240123,18-Oct-23,03-Nov-23," 924,914.00 ",,,,,,
17218-13625,17218-13332,13388,METIER PLASTIC (PVT.) LIMITED,17218,13332,13625,23240131,20-Oct-23,03-Nov-23," 253,110.00 ",,,,,,
17270-13626,17270-13331,13389,METIER PLASTIC (PVT.) LIMITED,17270,13331,13626,23240132,20-Oct-23,03-Nov-23," 100,300.00 ",,,,,,
17270-13623,17270-13318,13390,METIER PLASTIC (PVT.) LIMITED,17270,13318,13623,23240124,18-Oct-23,03-Nov-23," 188,800.00 ",,,,,,
17270-13646,17270-13352,13391,METIER PLASTIC (PVT.) LIMITED,17270,13352,13646,23240140,25-Oct-23,03-Nov-23," 96,642.00 ",,,,,,
17270-,17270-13344,13392,METIER PLASTIC (PVT.) LIMITED,17270,13344,,23240136,24-Oct-23,03-Nov-23," 118,000.00 ",,,,,,
17446-10769,17446--,13393,PERAC RESEARCH & DEVELOPMENT FOUNDATION,17446,-,10769,23000402/2023-2024,17-Oct-23,03-Nov-23," 144,866.00 ",,,,,,
16903-13507,16903-13210,13394,IDEAPAC,16903,13210,13507,1023/03/23,09-Oct-23,03-Nov-23," 212,400.00 ",,,,,,
17552-5256,17552-5043,13395,ADVANCE ENGINEERING GROUP,17552,5043,5256,4804,30-Oct-23,03-Nov-23," 42,480.00 ",,,,,,
16993-10635,16993--,13396,MULTINET PAKISTAN (PVT.) LIMITED,16993,-,10635,3053305,01-Oct-23,03-Nov-23," 1,780.00 ",,,,,,
16993-10635,16993--,13397,MULTINET PAKISTAN (PVT.) LIMITED,16993,-,10635,3053306,01-Oct-23,03-Nov-23," 127,703.00 ",,,,,,
17246-13636,17246-13350,13398,IFTEKHAR INTERNATIONAL,17246,13350,13636,809,25-Oct-23,03-Nov-23," 47,843.69 ",,,,,,
17504-,17504-13363,13399,LIVEWELL CAPSULES (PRIVATE) LIMITED,17504,13363,,111,23-Oct-23,03-Nov-23," 1,666,742.00 ",,,,,,
17228-13494,17228-13194,13400,STANDARD MANUFACTURING COMPANY (PVT.) LIMITED,17228,13194,13494,1243,23-Sep-23,03-Nov-23," 348,450.00 ",,,,,,
17095-13638,17095-13346,13401,VISION PHARMACEUTICALS (PRIVATE) LIMITED,17095,13346,13638,232401008,19-Oct-23,03-Nov-23," 1,196,850.00 ",,,,,,
17008-13637,17008-13345,13402,VISION PHARMACEUTICALS (PRIVATE) LIMITED,17008,13345,13637,232401028,19-Oct-23,03-Nov-23," 1,595,800.00 ",,,,,,
17078-10727,17078-5945,13403,MAXIM PAKISTAN,17078,5945,10727,MXP1356,25-Oct-23,03-Nov-23," 619,500.00 ",,,,,,
17640-5253,17640-5040,13404,TYRE WORLD,17640,5040,5253,101,12-Oct-23,03-Nov-23," 45,784.00 ",,,,,,
17640-5253,17640-5040,13405,TYRE WORLD,17640,5040,5253,100,12-Oct-23,03-Nov-23," 45,784.00 ",,,,,,
17640-5253,17640-5040,13406,TYRE WORLD,17640,5040,5253,99,12-Oct-23,03-Nov-23," 45,784.00 ",,,,,,
17646-5252,17646-5039,13407,TYRE WORLD,17646,5039,5252,106,17-Oct-23,03-Nov-23," 41,536.00 ",,,,,,
17646-5252,17646-5039,13408,TYRE WORLD,17646,5039,5252,102,13-Oct-23,03-Nov-23," 51,920.00 ",,,,,,
17203-10587,17203-5846,13409,PAKISTAN OXYGEN LIMITED,17203,5846,10587,371937478,21-Sep-23,03-Nov-23," 73,632.00 ",,,,,,
17541-10630,17541-5871,13410,PAKISTAN OXYGEN LIMITED,17541,5871,10630,371939086,27-Sep-23,03-Nov-23," 67,534.94 ",,,,,,
17541-10720,17541-5940,13411,PAKISTAN OXYGEN LIMITED,17541,5940,10720,371945770,24-Oct-23,03-Nov-23," 26,414.30 ",,,,,,
17541-10732,17541-5948,13412,PAKISTAN OXYGEN LIMITED,17541,5948,10732,371946874,28-Oct-23,03-Nov-23," 93,092.56 ",,,,,,
17203-10733,17203-5949,13413,PAKISTAN OXYGEN LIMITED,17203,5949,10733,371946730,27-Oct-23,03-Nov-23," 36,816.00 ",,,,,,
17710-10761,17710-5963,13414,BLAZON INTERNATIONAL,17710,5963,10761,1930,01-Nov-23,03-Nov-23," 755,150.00 ",,,,,,
17041-10736,17041-5951,13415,SUPERLINE MARKETING CO.,17041,5951,10736,609-23/24,31-Oct-23,03-Nov-23," 163,932.00 ",,,,,,
17041-10724,17041-5942,13416,SUPERLINE MARKETING CO.,17041,5942,10724,609-23/24,31-Oct-23,03-Nov-23," 163,932.00 ",,,,,,
17392-,17392-13377,13417,UNITED TUBES (PRIVATE) LIMITED,17392,13377,,29948,30-Oct-23,03-Nov-23," 104,663.00 ",,,,,,
17392-13669,17392-13376,13418,UNITED TUBES (PRIVATE) LIMITED,17392,13376,13669,29947,30-Oct-23,03-Nov-23," 50,331.00 ",,,,,,
17688-10760,17688-5962,13419,K. I. ENTERPRISEE,17688,5962,10760,,30-Oct-23,01-Nov-23," 283,200.00 ",,,,,,
15294-10771,15294--,13420,TECHNO ENERGY SYSTEM,15294,-,10771,2317,01-Nov-23,07-Nov-23," 460,000.00 ",,,,,,
15421-10770,15421--,13421,TECHNO ENERGY SYSTEM,15421,-,10770,2316,01-Nov-23,07-Nov-23," 385,000.00 ",,,,,,
17079-10726,17079-5944,13422,PAK PACKAGES INDUSTRIES,17079,5944,10726,00030,25-Oct-23,07-Nov-23," 85,491.00 ",,,,,,
17453-13641,17453-13349,13423,COLOR PRESS PAKISTAN PRIVATE LTD.,17453,13349,13641,01-000331-2324,24-Oct-23,07-Nov-23," 393,471.00 ",,,,,,
16531-,16531-5970,13424,NOOR & CO.,16531,5970,,212,03-Nov-23,07-Nov-23," 90,500.00 ",,,,,,
16993-10782,16993--,13425,MULTINET,16993,-,10782,3075362,01-Nov-23,07-Nov-23," 1,780.00 ",,,,,,
16993-10782,16993--,13426,MULTINET,16993,-,10782,3075363,01-Nov-23,07-Nov-23," 127,703.00 ",,,,,,
16149-10785,16149--,13427,MULTINET,16149,-,10785,3075364,01-Nov-23,07-Nov-23," 154,245.00 ",,,,,,
16149-10784,16149--,13428,MULTINET,16149,-,10784,3053307,01-Oct-23,07-Nov-23," 154,245.00 ",,,,,,
16994-10783,16994--,13429,SUPERNET LIMITED,16994,-,10783,2023/11/0317-001,01-Nov-23,07-Nov-23," 23,900.00 ",,,,,,
16994-10783,16994--,13430,SUPERNET LIMITED,16994,-,10783,2023/11/0317-002,01-Nov-23,07-Nov-23," 49,473.00 ",,,,,,
16994-10783,16994--,13431,SUPERNET LIMITED,16994,-,10783,2023/11/0317-003,01-Nov-23,07-Nov-23," 114,062.75 ",,,,,,
17270-,17270-13390,13432,METIER PLASTIC (PVT.) LIMITED,17270,13390,,23240144,31-Oct-23,08-Nov-23," 249,128.00 ",,,,,,
17270-,17270-13391,13433,METIER PLASTIC (PVT.) LIMITED,17270,13391,,23240144,31-Oct-23,08-Nov-23," 249,128.00 ",,,,,,
17218-13677,17218-13388,13434,METIER PLASTIC (PVT.) LIMITED,17218,13388,13677,23240145,31-Oct-23,08-Nov-23," 700,655.00 ",,,,,,
17218-,17218-13389,13435,METIER PLASTIC (PVT.) LIMITED,17218,13389,,23240145,31-Oct-23,08-Nov-23," 700,655.00 ",,,,,,
17218-13526,17218-13224,13436,METIER PLASTIC (PVT.) LIMITED,17218,13224,13526,23240103,09-Oct-23,08-Nov-23," 1,000,026.00 ",,,,,,
17218-13523,17218-13225,13437,METIER PLASTIC (PVT.) LIMITED,17218,13225,13523,23240103,09-Oct-23,08-Nov-23," 1,000,026.00 ",,,,,,
17218-,17218-13419,13438,METIER PLASTIC (PVT.) LIMITED,17218,13419,,23240147,06-Nov-23,08-Nov-23," 360,490.00 ",,,,,,
17218-,17218-13241,13439,METIER PLASTIC (PVT.) LIMITED,17218,13241,,23240146,06-Nov-23,08-Nov-23," 147,524.00 ",,,,,,
17038-,17038-13392,13440,METIER IMPRESSIONS (PVT) LTD.,17038,13392,,23240197,31-Oct-23,08-Nov-23," 409,911.00 ",,,,,,
17373-10749,17373-5958,13441,METIER IMPRESSIONS (PVT) LTD.,17373,5958,10749,23240196,31-Oct-23,08-Nov-23," 80,698.00 ",,,,,,
16977-10750,16977-5959,13442,METIER IMPRESSIONS (PVT) LTD.,16977,5959,10750,23240195,31-Oct-23,08-Nov-23," 680,532.00 ",,,,,,
16977-10751,16977-5960,13443,METIER IMPRESSIONS (PVT) LTD.,16977,5960,10751,23240195,31-Oct-23,08-Nov-23," 680,532.00 ",,,,,,
16977-10752,16977-5961,13444,METIER IMPRESSIONS (PVT) LTD.,16977,5961,10752,23240195,31-Oct-23,08-Nov-23," 680,532.00 ",,,,,,
17477-,17477-13393,13445,METIER IMPRESSIONS (PVT) LTD.,17477,13393,,23240194,31-Oct-23,08-Nov-23," 217,120.00 ",,,,,,
17448-,17448-13394,13446,METIER IMPRESSIONS (PVT) LTD.,17448,13394,,23240193,31-Oct-23,08-Nov-23," 319,662.00 ",,,,,,
17555-,17555-13395,13447,METIER IMPRESSIONS (PVT) LTD.,17555,13395,,23240192,31-Oct-23,08-Nov-23," 30,043.00 ",,,,,,
17498-,17498-13398,13448,METIER IMPRESSIONS (PVT) LTD.,17498,13398,,23240191,31-Oct-23,08-Nov-23," 123,381.00 ",,,,,,
17540-,17540-13396,13449,METIER IMPRESSIONS (PVT) LTD.,17540,13396,,23240190,31-Oct-23,08-Nov-23," 219,102.00 ",,,,,,
17360-,17360-13397,13450,METIER IMPRESSIONS (PVT) LTD.,17360,13397,,23240189,31-Oct-23,08-Nov-23," 65,155.00 ",,,,,,
17555-,17555-13399,13451,METIER IMPRESSIONS (PVT) LTD.,17555,13399,,23240188,31-Oct-23,08-Nov-23," 111,770.00 ",,,,,,
17493-,17493-13400,13452,METIER IMPRESSIONS (PVT) LTD.,17493,13400,,23240187,31-Oct-23,08-Nov-23," 19,824.00 ",,,,,,
17223-,17223-13383,13453,METIER IMPRESSIONS (PVT) LTD.,17223,13383,,23240185,30-Oct-23,08-Nov-23," 281,800.00 ",,,,,,
17360-,17360-13380,13454,METIER IMPRESSIONS (PVT) LTD.,17360,13380,,23240184,30-Oct-23,08-Nov-23," 1,366,808.00 ",,,,,,
17360-,17360-13381,13455,METIER IMPRESSIONS (PVT) LTD.,17360,13381,,23240184,30-Oct-23,08-Nov-23," 1,366,808.00 ",,,,,,
17360-,17360-13382,13456,METIER IMPRESSIONS (PVT) LTD.,17360,13382,,23240184,30-Oct-23,08-Nov-23," 1,366,808.00 ",,,,,,
17459-,17459-13379,13457,METIER IMPRESSIONS (PVT) LTD.,17459,13379,,23240183,30-Oct-23,08-Nov-23," 541,234.00 ",,,,,,
16977-10738,16977-5953,13458,METIER IMPRESSIONS (PVT) LTD.,16977,5953,10738,23240182,30-Oct-23,08-Nov-23," 268,100.00 ",,,,,,
16977-10739,16977-5954,13459,METIER IMPRESSIONS (PVT) LTD.,16977,5954,10739,23240182,30-Oct-23,08-Nov-23," 268,100.00 ",,,,,,
17477-,17477-13401,13460,METIER IMPRESSIONS (PVT) LTD.,17477,13401,,23240200,01-Nov-23,08-Nov-23," 194,051.00 ",,,,,,
17448-,17448-13402,13461,METIER IMPRESSIONS (PVT) LTD.,17448,13402,,23240199,01-Nov-23,08-Nov-23," 27,357.00 ",,,,,,
17555-,17555-13403,13462,METIER IMPRESSIONS (PVT) LTD.,17555,13403,,23240202,02-Nov-23,08-Nov-23," 151,049.00 ",,,,,,
17555-,17555-13404,13463,METIER IMPRESSIONS (PVT) LTD.,17555,13404,,23240202,02-Nov-23,08-Nov-23," 151,049.00 ",,,,,,
17665-,17665-13420,13464,METIER IMPRESSIONS (PVT) LTD.,17665,13420,,23240209,06-Nov-23,08-Nov-23," 6,692.00 ",,,,,,
17317-10731,17317-5947,13465,M. A. PRINTERS,17317,5947,10731,305,07-Nov-23,08-Nov-23," 17,850.00 ",,,,,,
17541-10763,17541-5965,13466,PAKISTAN OXYGEN LIMITED,17541,5965,10763,371948225,02-Nov-23,08-Nov-23," 99,946.00 ",,,,,,
17541-10764,17541-5966,13467,PAKISTAN OXYGEN LIMITED,17541,5966,10764,371948226,02-Nov-23,08-Nov-23," 29,983.80 ",,,,,,
17541-10776,17541-5978,13468,PAKISTAN OXYGEN LIMITED,17541,5978,10776,371949380,06-Nov-23,08-Nov-23," 102,373.26 ",,,,,,
17719-,17719-5981,13469,MICRO SCIENTIFIC CO.,17719,5981,,15928,07-Nov-23,08-Nov-23," 511,176.00 ",,,,,,
17571-,17571-5055,13470,M/S. IMRAN ENGINEERING,17571,5055,,112,07-Nov-23,08-Nov-23," 17,700.00 ",,,,,,
17377-,17377-5056,13471,M/S. IMRAN ENGINEERING,17377,5056,,111,07-Nov-23,08-Nov-23," 38,940.00 ",,,,,,
15785-,15785-5057,13472,M/S. IMRAN ENGINEERING,15785,5057,,113,07-Nov-23,08-Nov-23," 20,475.00 ",,,,,,
17036-13662,17036-13361,13473,GHANI GLASS LIMITED,17036,13361,13662,PH22023102025,25-Oct-23,08-Nov-23," 830,395.50 ",,,,,,
17196-,17196-13413,13474,AN TRADERS,17196,13413,,005331,03-Nov-23,08-Nov-23," 510,850.34 ",,,,,,
17393-,17393-13362,13475,AN TRADERS,17393,13362,,005281,26-Oct-23,08-Nov-23," 25,440.84 ",,,,,,
17246-,17246-13423,13476,IFTEKHAR INTERNATIONAL,17246,13423,,832,03-Nov-23,08-Nov-23,,,,,,,
17388-,17388-13422,13477,IFTEKHAR INTERNATIONAL,17388,13422,,833,03-Nov-23,08-Nov-23,,,,,,,
17613-,17613-601,13478,IFTEKHAR INTERNATIONAL,17613,601,,850,07-Nov-23,08-Nov-23,,,,,,,
17613-,17613-603,13479,IFTEKHAR INTERNATIONAL,17613,603,,853,08-Nov-23,08-Nov-23,,,,,,,
17638-5255,17638-5042,13480,WADITTAR ENGINEERING,17638,5042,5255,2726,30-Oct-23,08-Nov-23," 50,000.00 ",,,,,,
17399-,17399--,13481,JAFFER BUSINESS SYSTEMS (PRIVATE) LTD.,17399,-,,90700002,14-Nov-23,22-Nov-23," 2,644,200.00 ",,,,,,
15886-,15886-5071,13482,PROFESSIONAL,15886,5071,,0171,22-Nov-23,24-Nov-23," 40,884.00 ",,,,,,
14182-,14182-5072,13483,PROFESSIONAL,14182,5072,,0169,22-Nov-23,24-Nov-23," 120,442.00 ",,,,,,
13865-9993,13865--,13484,PRONET PRIVATE LIMITED,13865,-,9993,SI-00396,22-Nov-23,24-Nov-23," 13,536,408.00 ",,,,,,
17842-,17842-6001,13485,INDUSTRIAL BUSINESS LINKS PVT. LTD.,17842,6001,,IBL-1293,22-Nov-23,24-Nov-23," 43,660.00 ",,,,,,
17685-,17685-13478,13486,METIER AMPOULE PVT. LTD.,17685,13478,,23240729,17-Nov-23,24-Nov-23," 779,909.00 ",,,,,,
17665-790,17665-604,13487,METIER IMPRESSIONS PVT. LTD.,17665,604,790,23240223,08-Nov-23,24-Nov-23," 262,332.00 ",,,,,,
17665-13737,17665-13435,13488,METIER IMPRESSIONS PVT. LTD.,17665,13435,13737,23240223,08-Nov-23,24-Nov-23," 262,332.00 ",,,,,,
17637-,17637-13474,13489,METIER IMPRESSIONS PVT. LTD.,17637,13474,,23240242,17-Nov-23,24-Nov-23," 195,491.00 ",,,,,,
